Chan_0_1,Chan_0_2,Chan_1_2,timestamp
20, 10, 14, Sun Mar  5 09:58:29 2023
14, 10, 14, Sun Mar  5 09:59:29 2023
11, 8, 12, Sun Mar  5 10:00:29 2023
10, 11, 18, Sun Mar  5 10:01:29 2023
7, 5, 10, Sun Mar  5 10:02:29 2023
16, 11, 17, Sun Mar  5 10:03:29 2023
23, 15, 21, Sun Mar  5 10:04:29 2023
8, 10, 14, Sun Mar  5 10:05:29 2023
20, 18, 23, Sun Mar  5 10:06:29 2023
12, 8, 13, Sun Mar  5 10:07:29 2023
10, 11, 12, Sun Mar  5 10:08:29 2023
24, 15, 18, Sun Mar  5 10:09:29 2023
15, 10, 12, Sun Mar  5 10:10:29 2023
10, 12, 20, Sun Mar  5 10:11:29 2023
121, 13, 23, Sun Mar  5 10:12:29 2023
24, 11, 15, Sun Mar  5 10:13:29 2023
15, 11, 17, Sun Mar  5 10:14:29 2023
8, 8, 9, Sun Mar  5 10:15:29 2023
16, 14, 20, Sun Mar  5 10:16:29 2023
15, 9, 14, Sun Mar  5 10:17:29 2023
19, 12, 9, Sun Mar  5 10:18:29 2023
12, 14, 12, Sun Mar  5 10:19:29 2023
16, 12, 14, Sun Mar  5 10:20:29 2023
15, 8, 12, Sun Mar  5 10:21:29 2023
13, 5, 8, Sun Mar  5 10:22:29 2023
11, 8, 17, Sun Mar  5 10:23:29 2023
12, 11, 14, Sun Mar  5 10:24:29 2023
16, 11, 14, Sun Mar  5 10:25:29 2023
14, 10, 16, Sun Mar  5 10:26:29 2023
5, 6, 8, Sun Mar  5 10:27:29 2023
18, 13, 15, Sun Mar  5 10:28:29 2023
117, 7, 15, Sun Mar  5 10:29:29 2023
29, 7, 15, Sun Mar  5 10:30:29 2023
18, 10, 12, Sun Mar  5 10:31:29 2023
15, 8, 12, Sun Mar  5 10:32:29 2023
18, 12, 19, Sun Mar  5 10:33:29 2023
10, 6, 14, Sun Mar  5 10:34:29 2023
19, 17, 19, Sun Mar  5 10:35:29 2023
12, 7, 11, Sun Mar  5 10:36:29 2023
12, 10, 14, Sun Mar  5 10:37:29 2023
15, 10, 14, Sun Mar  5 10:38:29 2023
12, 12, 14, Sun Mar  5 10:39:29 2023
13, 9, 12, Sun Mar  5 10:40:29 2023
17, 12, 20, Sun Mar  5 10:41:29 2023
10, 11, 13, Sun Mar  5 10:42:29 2023
12, 4, 10, Sun Mar  5 10:43:29 2023
14, 12, 20, Sun Mar  5 10:44:29 2023
15, 15, 20, Sun Mar  5 10:45:29 2023
135, 11, 9, Sun Mar  5 10:46:29 2023
39, 12, 18, Sun Mar  5 10:47:29 2023
19, 13, 18, Sun Mar  5 10:48:29 2023
21, 17, 18, Sun Mar  5 10:49:29 2023
13, 9, 9, Sun Mar  5 10:50:29 2023
17, 11, 17, Sun Mar  5 10:51:29 2023
12, 11, 16, Sun Mar  5 10:52:29 2023
10, 7, 14, Sun Mar  5 10:53:29 2023
8, 7, 10, Sun Mar  5 10:54:29 2023
24, 15, 19, Sun Mar  5 10:55:29 2023
14, 12, 15, Sun Mar  5 10:56:29 2023
15, 9, 12, Sun Mar  5 10:57:29 2023
13, 9, 11, Sun Mar  5 10:58:29 2023
10, 9, 11, Sun Mar  5 10:59:29 2023
15, 12, 14, Sun Mar  5 11:00:29 2023
11, 5, 12, Sun Mar  5 11:01:29 2023
11, 7, 15, Sun Mar  5 11:02:29 2023
13, 11, 15, Sun Mar  5 11:03:29 2023
111, 7, 7, Sun Mar  5 11:04:29 2023
